model	post_prob	cumulative_post_prob	prior_prob	bf
0,0,0,0,0	0.9485	0.9485	0.499982	18.4188
0,0,0,1,0	0.0122857	0.960786	0.046746	0.253649
0,0,0,0,1	0.00764286	0.968429	0.046711	0.157179
0,0,1,0,0	0.0075	0.975929	0.046494	0.154973
0,1,1,1,1	0.00357143	0.9795	0.046798	0.0730051
0,1,1,0,0	0.003	0.9825	0.015649	0.189273
0,0,1,1,1	0.00285714	0.985357	0.015384	0.183389
0,0,0,1,1	0.00242857	0.987786	0.015341	0.156257
0,1,0,0,0	0.00242857	0.990214	0.046597	0.049811
0,1,0,1,0	0.00228571	0.9925	0.015367	0.146792
0,1,1,0,1	0.00192857	0.994429	0.015249	0.124784
0,1,0,1,1	0.00128571	0.995714	0.015441	0.0820861
0,0,1,0,1	0.00114286	0.996857	0.015524	0.0725588
0,1,1,1,0	0.00107143	0.997929	0.015441	0.0683904
0,0,1,1,0	0.000928571	0.998857	0.01539	0.0594627
0,1,0,0,1	0.000714286	0.999571	0.015306	0.0459856
0,1,2,1,0	0.000214286	0.999786	0.00291	0.0734392
0,0,0,1,2	7.14286e-05	0.999857	0.005704	0.012452
0,1,1,2,1	7.14286e-05	0.999929	0.005734	0.0123865
0,1,2,0,1	7.14286e-05	1	0.00297	0.0239803
